Date,City,temp_max,temp_min,precipitation,wind_speed
2018-01-01,Delhi,20.0,6.8,0.0,10.3
2018-01-02,Delhi,19.8,6.4,0.0,9.6
2018-01-03,Delhi,19.8,6.8,0.0,10.7
2018-01-04,Delhi,20.2,5.9,0.0,10.0
2018-01-05,Delhi,20.2,6.6,0.0,10.7
2018-01-06,Delhi,19.5,5.4,0.0,10.9
2018-01-07,Delhi,18.8,6.1,0.0,17.2
2018-01-08,Delhi,19.5,6.8,0.0,13.0
2018-01-09,Delhi,19.8,5.8,0.0,13.0
2018-01-10,Delhi,20.8,7.3,0.0,18.7
2018-01-11,Delhi,21.2,8.3,0.0,18.9
2018-01-12,Delhi,21.9,8.9,0.0,15.1
2018-01-13,Delhi,21.5,6.4,0.0,11.4
2018-01-14,Delhi,21.9,7.3,0.0,11.6
2018-01-15,Delhi,21.8,7.2,0.0,17.1
2018-01-16,Delhi,22.0,8.9,0.0,17.2
2018-01-17,Delhi,21.3,7.8,0.0,13.0
2018-01-18,Delhi,23.8,8.9,0.0,11.4
2018-01-19,Delhi,23.4,9.7,0.0,12.1
2018-01-20,Delhi,22.0,8.6,0.0,16.2
2018-01-21,Delhi,21.4,7.1,0.0,10.6
2018-01-22,Delhi,21.7,7.1,0.0,10.4
2018-01-23,Delhi,16.1,10.7,6.0,15.9
2018-01-24,Delhi,18.7,8.2,0.8,13.7
2018-01-25,Delhi,19.5,8.6,0.0,16.6
2018-01-26,Delhi,19.9,7.6,0.0,13.2
2018-01-27,Delhi,19.9,7.2,0.0,11.5
2018-01-28,Delhi,21.1,6.8,0.0,12.6
2018-01-29,Delhi,21.9,7.5,0.0,13.9
2018-01-30,Delhi,24.3,10.0,0.0,22.6
2018-01-31,Delhi,24.1,12.8,0.0,23.3
2018-02-01,Delhi,25.4,11.1,0.0,13.3
2018-02-02,Delhi,24.4,11.0,0.0,10.0
2018-02-03,Delhi,23.0,10.9,0.0,13.0
2018-02-04,Delhi,22.0,8.6,0.0,14.5
2018-02-05,Delhi,22.0,6.9,0.0,10.0
2018-02-06,Delhi,22.1,11.6,0.0,17.1
2018-02-07,Delhi,22.3,8.7,0.0,16.3
2018-02-08,Delhi,22.0,6.8,0.0,11.6
